Date,Price,Open,High,Low,Change %
"Aug 09, 2018",7.745,7.754,7.762,7.74,-0.48%
"Aug 08, 2018",7.782,7.792,7.793,7.776,-0.05%
"Aug 07, 2018",7.786,7.772,7.787,7.757,0.23%
"Aug 06, 2018",7.768,7.754,7.773,7.747,0.06%
"Aug 03, 2018",7.763,7.742,7.771,7.739,0.54%
"Aug 02, 2018",7.721,7.698,7.732,7.681,0.26%
"Aug 01, 2018",7.701,7.767,7.841,7.701,-0.91%
"Jul 31, 2018",7.772,7.797,7.797,7.769,-0.23%
"Jul 30, 2018",7.79,7.78,7.799,7.776,0.13%
"Jul 27, 2018",7.78,7.766,7.788,7.762,0.27%
"Jul 26, 2018",7.759,7.806,7.806,7.756,-0.33%
"Jul 25, 2018",7.785,7.807,7.811,7.782,0.01%
"Jul 24, 2018",7.784,7.806,7.815,7.778,-0.33%
"Jul 23, 2018",7.81,7.788,7.819,7.774,0.32%
"Jul 20, 2018",7.785,7.787,7.797,7.772,0.00%
"Jul 19, 2018",7.785,7.782,7.785,7.764,0.43%
"Jul 18, 2018",7.752,7.725,7.759,7.723,0.08%
"Jul 17, 2018",7.746,7.763,7.764,7.729,-0.69%
"Jul 16, 2018",7.8,7.82,7.848,7.797,0.12%
"Jul 13, 2018",7.791,7.791,7.802,7.77,0.14%
"Jul 12, 2018",7.78,7.826,7.842,7.778,-1.17%
"Jul 11, 2018",7.872,7.897,7.914,7.864,-0.35%
"Jul 10, 2018",7.9,7.907,7.912,7.893,0.13%
"Jul 09, 2018",7.89,7.871,7.892,7.866,0.25%
"Jul 06, 2018",7.87,7.89,7.901,7.869,-0.34%
"Jul 05, 2018",7.897,7.849,7.9,7.841,0.57%
"Jul 04, 2018",7.852,7.878,7.916,7.836,-0.39%
"Jul 03, 2018",7.883,7.905,7.906,7.877,-0.37%
"Jul 02, 2018",7.912,7.889,7.917,7.867,0.11%
"Jun 29, 2018",7.903,7.922,7.922,7.869,-0.40%
"Jun 28, 2018",7.935,7.904,7.942,7.9,0.81%
"Jun 27, 2018",7.871,7.87,7.878,7.857,0.54%
"Jun 26, 2018",7.829,7.839,7.849,7.807,0.06%
"Jun 25, 2018",7.824,7.814,7.859,7.805,0.06%
"Jun 22, 2018",7.819,7.789,7.841,7.771,0.60%
"Jun 21, 2018",7.772,7.798,7.812,7.769,-0.70%
"Jun 20, 2018",7.827,7.805,7.85,7.804,-0.46%
"Jun 19, 2018",7.863,7.921,7.921,7.855,-0.18%
"Jun 18, 2018",7.877,7.832,7.882,7.818,-0.15%
"Jun 15, 2018",7.889,7.93,7.943,7.88,-0.70%
"Jun 14, 2018",7.945,7.946,7.955,7.9,0.19%
"Jun 13, 2018",7.93,7.966,7.968,7.919,-0.45%
"Jun 12, 2018",7.966,7.972,7.992,7.965,0.04%
"Jun 11, 2018",7.963,7.977,8,7.946,0.20%
"Jun 08, 2018",7.947,7.997,7.997,7.918,-0.58%
"Jun 07, 2018",7.993,7.939,7.993,7.937,0.96%
"Jun 06, 2018",7.917,7.852,7.934,7.827,1.06%
"Jun 05, 2018",7.834,7.86,7.874,7.823,-0.53%
"Jun 04, 2018",7.876,7.868,7.902,7.852,0.36%
"Jun 01, 2018",7.848,7.86,7.877,7.848,0.28%
"May 31, 2018",7.826,7.823,7.851,7.816,0.57%
"May 30, 2018",7.782,7.742,7.785,7.721,0.34%
"May 29, 2018",7.756,7.761,7.792,7.753,0.22%
"May 28, 2018",7.739,7.733,7.774,7.721,-0.71%
"May 25, 2018",7.794,7.864,7.888,7.793,-0.98%
"May 24, 2018",7.871,7.845,7.884,7.838,0.28%
"May 23, 2018",7.849,7.835,7.868,7.827,0.51%
"May 22, 2018",7.809,7.818,7.847,7.787,0.00%
"May 21, 2018",7.809,7.901,7.901,7.802,-0.33%
"May 20, 2018",7.835,7.835,7.835,7.835,0.00%
"May 18, 2018",7.835,7.903,7.927,7.76,-0.57%
"May 17, 2018",7.88,7.922,7.944,7.879,-0.28%
"May 16, 2018",7.902,7.919,7.945,7.871,-0.01%
"May 15, 2018",7.903,7.906,7.913,7.814,0.98%
"May 14, 2018",7.826,7.72,7.829,7.708,1.29%
"May 11, 2018",7.726,7.711,7.757,7.701,0.14%
"May 10, 2018",7.715,7.715,7.761,7.715,0.08%
"May 09, 2018",7.709,7.652,7.721,7.648,1.70%
"May 08, 2018",7.58,7.636,7.655,7.553,-0.55%
"May 07, 2018",7.622,7.601,7.655,7.601,-1.37%
"May 04, 2018",7.728,7.748,7.759,7.723,-0.08%
"May 03, 2018",7.734,7.736,7.746,7.683,0.01%
"May 02, 2018",7.733,7.731,7.742,7.702,-0.44%
"Apr 27, 2018",7.767,7.746,7.773,7.74,0.15%
"Apr 26, 2018",7.755,7.749,7.785,7.723,0.22%
"Apr 25, 2018",7.738,7.714,7.779,7.701,0.72%
"Apr 24, 2018",7.683,7.738,7.741,7.642,-0.74%
"Apr 23, 2018",7.74,7.731,7.769,7.672,0.29%
"Apr 20, 2018",7.718,7.785,7.797,7.655,1.14%
"Apr 19, 2018",7.631,7.602,7.651,7.588,1.26%
"Apr 18, 2018",7.536,7.492,7.536,7.478,0.63%
"Apr 17, 2018",7.489,7.483,7.509,7.471,0.04%
"Apr 16, 2018",7.486,7.404,7.49,7.404,0.74%
"Apr 13, 2018",7.431,7.503,7.522,7.423,-0.50%
"Apr 12, 2018",7.468,7.512,7.527,7.443,-0.90%
"Apr 11, 2018",7.536,7.423,7.542,7.386,2.13%
"Apr 10, 2018",7.379,7.247,7.379,7.247,2.12%
"Apr 09, 2018",7.226,7.204,7.239,7.153,0.71%
"Apr 06, 2018",7.175,7.146,7.179,7.139,0.67%
"Apr 05, 2018",7.127,7.306,7.306,7.123,-2.29%
"Apr 04, 2018",7.294,7.339,7.345,7.291,-0.52%
"Apr 03, 2018",7.332,7.333,7.367,7.312,-0.89%
"Mar 28, 2018",7.398,7.313,7.412,7.286,0.89%
"Mar 27, 2018",7.333,7.371,7.398,7.302,-3.80%
"Mar 26, 2018",7.623,7.577,7.63,7.574,0.87%
"Mar 23, 2018",7.557,7.533,7.562,7.521,-0.04%
"Mar 22, 2018",7.56,7.581,7.615,7.548,-0.28%
"Mar 21, 2018",7.581,7.66,7.677,7.579,-0.45%
"Mar 20, 2018",7.615,7.604,7.628,7.595,0.09%
"Mar 19, 2018",7.608,7.585,7.613,7.542,0.67%
"Mar 16, 2018",7.557,7.64,7.648,7.557,-1.00%
"Mar 15, 2018",7.633,7.672,7.711,7.625,-0.68%
"Mar 14, 2018",7.685,7.646,7.693,7.643,0.42%
"Mar 13, 2018",7.653,7.607,7.665,7.604,0.31%
"Mar 12, 2018",7.629,7.697,7.7,7.62,-0.55%
"Mar 09, 2018",7.671,7.652,7.729,7.634,0.12%
"Mar 08, 2018",7.662,7.679,7.713,7.652,-0.21%
"Mar 07, 2018",7.678,7.769,7.769,7.678,-1.25%
"Mar 06, 2018",7.775,7.8,7.8,7.758,-0.01%
"Mar 05, 2018",7.776,7.755,7.783,7.741,0.49%
"Mar 01, 2018",7.738,7.726,7.776,7.696,0.16%
"Feb 28, 2018",7.726,7.696,7.726,7.673,0.78%
"Feb 27, 2018",7.666,7.708,7.717,7.657,-0.29%
"Feb 26, 2018",7.688,7.657,7.708,7.657,0.27%
"Feb 23, 2018",7.667,7.76,7.76,7.667,-1.02%
"Feb 22, 2018",7.746,7.816,7.816,7.724,0.47%
"Feb 21, 2018",7.71,7.677,7.71,7.657,0.55%
"Feb 20, 2018",7.668,7.606,7.694,7.603,1.12%
"Feb 18, 2018",7.583,7.583,7.583,7.583,0.08%
"Feb 16, 2018",7.577,7.576,7.597,7.571,0.12%
"Feb 15, 2018",7.568,7.567,7.611,7.547,1.03%
"Feb 14, 2018",7.491,7.453,7.509,7.449,-0.07%
"Feb 12, 2018",7.496,7.47,7.525,7.449,0.08%
"Feb 09, 2018",7.49,7.458,7.524,7.452,0.32%
"Feb 08, 2018",7.466,7.506,7.522,7.466,-0.86%
