close_time,open,high,low,close,volume,quote_volume
2019-02-28,135.44,139.83,125.66,134.06,82275.89357239,10996153.521770438
2019-03-01,134.12,139.05,131.65,134.34,70928.05977209,9612104.270210847
2019-03-02,134.5,137.6,133.77,134.83,35441.58692445,4797122.48978807
2019-03-03,134.7,135.48,129.55,132.19,38212.34418069,5044788.427671288
2019-03-04,132.44,134.42,127.34,129.63,25770.17933422,3393467.992551749
2019-03-05,129.73,130.36,122.52,125.16,55430.84726821,6982314.838025097
2019-03-06,125.32,137.64,124.75,136.18,62192.23842921,8245201.760964489
2019-03-07,136.22,140.13,133.25,137.04,39945.03763356,5457299.00052091
2019-03-08,137.11,139.8,134.65,136.1,49662.097748,6796365.052378108
2019-03-09,136.45,138.59,128.85,132.8,48116.71528489,6487439.169078173
2019-03-10,132.64,138.2,132.03,136.33,31333.85477558,4263371.508383714
2019-03-11,136.16,136.83,133.31,134.59,17921.06824105,2415862.1805367963
2019-03-12,134.8,135.43,130.46,131.94,45116.19374074,5974263.186942637
2019-03-13,131.98,134.37,127.35,132.67,35172.56251538,4636623.017424938
2019-03-14,132.76,132.76,130.12,131.16,13036.65120447,1711002.2151901615
2019-03-15,131.01,135.08,128.66,131.3,26837.70198051,3527601.043400328
2019-03-16,131.38,136.93,131.36,135.77,41508.31075052,5570384.521103056
2019-03-17,135.93,143.85,135.79,140.38,41362.91496903,5809060.519209295
2019-03-18,140.28,140.38,135.55,138.15,24547.42654396,3390125.4003160633
2019-03-19,138.1,141.34,135.42,136.86,39517.30133404,5432272.991964668
2019-03-20,136.82,138.75,136.3,138.08,22504.82942103,3094137.3625386814
2019-03-21,137.87,139.31,135.26,138.71,22614.42793805,3107660.367334362
2019-03-22,138.67,139.11,132.0,134.49,34146.83255348,4647801.446400397
2019-03-23,134.3,137.01,134.0,135.6,26098.53414717,3544662.3472143672
2019-03-24,135.51,137.7,135.2,136.63,12270.81365385,1674867.395802395
2019-03-25,136.32,136.54,134.15,135.29,12760.07708099,1727795.9391053414
2019-03-26,135.31,136.25,130.6,133.28,33108.82404506,4436394.152983562
2019-03-27,133.06,133.93,131.46,133.1,30132.70462839,3994153.844454953
2019-03-28,133.12,139.63,132.98,138.97,30664.93960635,4204614.964381919
2019-03-29,139.07,139.07,135.78,137.35,23888.34968693,3283820.453607552
2019-03-30,137.35,143.18,137.0,142.79,34196.640861679996,4786025.30518565
2019-03-31,142.76,145.5,139.91,142.27,38625.70114947,5530180.45825492
2019-04-01,142.27,142.3,140.08,141.02,10105.77327655,1426544.5465729847
2019-04-02,141.02,142.95,138.27,141.0,39691.07319005,5615074.591343831
2019-04-03,141.02,168.72,140.7,164.58,179504.39128438,27881515.327752497
2019-04-04,164.65,180.03,152.42,160.89,195998.23873093,33034432.733825486
2019-04-05,160.86,164.97,152.95,157.72,112742.03057652,17944412.32428433
2019-04-06,157.7,168.64,156.2,166.06,54864.17239381,8981371.903042153
2019-04-07,165.62,173.06,160.0,166.0,42060.62934312,6992111.445715464
2019-04-08,165.82,176.57,164.11,174.9,41336.77719442,7038785.28366169
2019-04-09,174.93,187.26,173.66,180.72,91713.64040783,16571580.426193537
2019-04-10,180.71,180.84,174.19,175.59,65107.77122397,11529160.778042058
2019-04-11,175.63,185.71,167.0,177.7,82532.11419937,14798649.924584538
2019-04-12,177.71,178.0,160.33,164.96,66149.29973081,11068269.955576371
2019-04-13,165.03,167.57,159.17,164.11,56724.08603183,9322196.753882265
2019-04-14,163.98,166.1,161.85,163.65,18401.41107193,3016716.3190079876
